TIME,ETemp,STemp,GTemp,CH1,CH2,CH3,GPS
2023-02-21 00:56:00,43.61,42.34,-49.10,20813.28,946.86,50848.89,13
2023-02-21 00:57:00,43.60,42.34,-49.10,20813.08,947.03,50849.13,13
2023-02-21 00:58:00,43.60,42.34,-49.14,20812.54,946.58,50849.10,13
2023-02-21 00:59:00,43.60,42.34,-49.07,20811.84,946.41,50849.20,13
2023-02-21 01:00:00,43.60,42.33,-49.11,20812.16,946.26,50849.13,13
2023-02-21 01:01:00,43.59,42.34,-49.09,20812.36,946.04,50849.14,13
2023-02-21 01:02:00,43.59,42.33,-49.11,20812.78,946.70,50849.29,13
2023-02-21 01:03:00,43.61,42.35,-49.06,20812.41,946.68,50849.24,13
2023-02-21 01:04:00,43.60,42.33,-49.12,20812.53,945.92,50849.24,13
2023-02-21 01:05:00,43.60,42.33,-49.09,20813.10,945.22,50849.39,13
2023-02-21 01:06:00,43.61,42.33,-49.11,20813.46,945.17,50849.47,13
2023-02-21 01:07:00,43.60,42.34,-49.12,20813.88,945.14,50849.37,13
2023-02-21 01:08:00,43.60,42.34,-49.06,20813.96,945.29,50849.53,13
2023-02-21 01:09:00,43.60,42.34,-49.14,20812.91,945.81,50849.65,13
2023-02-21 01:10:00,43.61,42.33,-49.12,20812.15,945.59,50849.65,13
2023-02-21 01:11:00,43.60,42.33,-49.12,20812.82,944.88,50849.50,13
2023-02-21 01:12:00,43.60,42.34,-49.11,20813.99,944.38,50849.72,13
2023-02-21 01:13:00,43.60,42.35,-49.11,20813.85,944.05,50850.02,13
2023-02-21 01:14:00,43.61,42.34,-49.13,20812.83,945.11,50850.05,13
2023-02-21 01:15:00,43.59,42.34,-49.10,20812.26,945.41,50850.20,13
2023-02-21 01:16:00,43.61,42.33,-49.13,20812.16,945.62,50850.20,13
2023-02-21 01:17:00,43.60,42.34,-49.04,20812.04,944.52,50850.21,13
2023-02-21 01:18:00,43.60,42.33,-49.08,20811.80,944.57,50850.39,13
2023-02-21 01:19:00,43.60,42.33,-49.11,20811.29,944.26,50850.31,13
2023-02-21 01:20:00,43.59,42.34,-49.09,20810.40,944.73,50850.35,13
2023-02-21 01:21:00,43.60,42.34,-49.12,20809.40,945.00,50850.58,13
2023-02-21 01:22:00,43.60,42.34,-49.13,20808.65,945.58,50850.77,13
2023-02-21 01:23:00,43.60,42.33,-49.11,20808.44,945.62,50850.57,13
2023-02-21 01:24:00,43.60,42.33,-49.12,20807.91,945.90,50850.87,13
2023-02-21 01:25:00,43.60,42.34,-49.11,20808.04,946.55,50851.09,13
2023-02-21 01:26:00,43.61,42.34,-49.16,20807.51,947.63,50851.25,13
2023-02-21 01:27:00,43.61,42.33,-49.12,20806.95,948.09,50851.24,13
2023-02-21 01:28:00,43.60,42.34,-49.11,20807.12,949.25,50851.17,13
2023-02-21 01:29:00,43.59,42.33,-49.15,20805.81,949.20,50851.19,13
2023-02-21 01:30:00,43.60,42.33,-49.09,20806.21,951.39,50851.26,13
2023-02-21 01:31:00,43.61,42.33,-49.09,20805.16,951.55,50851.38,13
2023-02-21 01:32:00,43.60,42.34,-49.11,20805.26,950.81,50851.26,13
2023-02-21 01:33:00,43.59,42.33,-49.08,20804.74,952.05,50851.45,13
2023-02-21 01:34:00,43.62,42.34,-49.14,20805.01,951.34,50851.71,13
2023-02-21 01:35:00,43.60,42.34,-49.06,20804.27,951.45,50851.72,13
2023-02-21 01:36:00,43.60,42.33,-49.06,20803.80,951.59,50852.02,13
2023-02-21 01:37:00,43.60,42.33,-49.15,20803.39,951.00,50852.16,13
2023-02-21 01:38:00,43.60,42.35,-49.09,20803.58,950.73,50852.11,13
2023-02-21 01:39:00,43.61,42.34,-49.11,20803.01,951.36,50852.39,13
2023-02-21 01:40:00,43.61,42.34,-49.08,20802.56,950.93,50852.50,13
2023-02-21 01:41:00,43.59,42.33,-49.12,20802.40,951.53,50852.62,13
2023-02-21 01:42:00,43.60,42.33,-49.11,20801.92,952.30,50852.89,13
2023-02-21 01:43:00,43.60,42.34,-49.14,20801.62,951.73,50852.88,13
2023-02-21 01:44:00,43.59,42.34,-49.10,20800.94,951.09,50853.01,13
2023-02-21 01:45:00,43.59,42.34,-49.06,20800.96,950.22,50852.93,13
2023-02-21 01:46:00,43.59,42.33,-49.10,20800.40,949.62,50853.19,13
2023-02-21 01:47:00,43.61,42.34,-49.05,20800.55,949.83,50853.28,13
2023-02-21 01:48:00,43.60,42.34,-49.08,20800.80,949.50,50853.40,13
2023-02-21 01:49:00,43.61,42.35,-49.10,20800.30,948.54,50853.45,13
2023-02-21 01:50:00,43.60,42.32,-49.13,20799.73,949.07,50853.63,13
2023-02-21 01:51:00,43.59,42.34,-49.09,20799.68,950.18,50853.90,13
2023-02-21 01:52:00,43.60,42.33,-49.12,20799.92,950.25,50853.90,13
2023-02-21 01:53:00,43.61,42.32,-49.08,20799.31,949.83,50854.04,13
2023-02-21 01:54:00,43.61,42.33,-49.13,20797.88,952.09,50854.17,13
2023-02-21 01:55:00,43.60,42.33,-49.11,20797.26,954.05,50854.49,13
2023-02-21 01:56:00,43.60,42.33,-49.11,20796.96,955.60,50854.38,13
2023-02-21 01:57:00,43.60,42.34,-49.10,20796.02,956.13,50854.48,13
2023-02-21 01:58:00,43.60,42.34,-49.09,20794.61,958.85,50854.71,13
2023-02-21 01:59:00,43.59,42.33,-49.10,20794.26,960.20,50854.71,13
2023-02-21 02:00:00,43.61,42.34,-49.11,20794.11,958.83,50854.83,13
2023-02-21 02:01:00,43.58,42.33,-49.10,20793.34,959.79,50854.78,13
2023-02-21 02:02:00,43.60,42.33,-49.11,20791.86,962.38,50855.04,13
2023-02-21 02:03:00,43.60,42.34,-49.14,20790.51,963.78,50855.16,13
2023-02-21 02:04:00,43.60,42.33,-49.06,20790.60,963.85,50855.27,13
2023-02-21 02:05:00,43.60,42.33,-49.11,20791.45,963.34,50855.20,13
2023-02-21 02:06:00,43.59,42.34,-49.14,20791.89,962.05,50855.42,13
2023-02-21 02:07:00,43.60,42.33,-49.11,20792.01,960.45,50855.50,13
2023-02-21 02:08:00,43.60,42.33,-49.13,20792.02,959.60,50855.50,13
2023-02-21 02:09:00,43.60,42.33,-49.14,20792.72,958.42,50855.34,13
2023-02-21 02:10:00,43.61,42.34,-49.14,20793.25,957.72,50855.51,13
2023-02-21 02:11:00,43.60,42.34,-49.13,20792.84,957.47,50855.54,13
2023-02-21 02:12:00,43.60,42.35,-49.08,20792.39,956.90,50855.59,13
2023-02-21 02:13:00,43.60,42.34,-49.11,20792.69,955.89,50855.62,13
2023-02-21 02:14:00,43.60,42.35,-49.11,20792.46,955.33,50855.87,13
2023-02-21 02:15:00,43.60,42.33,-49.10,20792.71,954.46,50855.92,13
2023-02-21 02:16:00,43.59,42.34,-49.12,20792.51,953.78,50855.98,13
2023-02-21 02:17:00,43.60,42.34,-49.10,20792.55,952.80,50855.81,13
2023-02-21 02:18:00,43.61,42.34,-49.11,20792.71,951.88,50856.07,13
2023-02-21 02:19:00,43.60,42.35,-49.13,20793.30,951.79,50856.25,13
2023-02-21 02:20:00,43.61,42.34,-49.11,20793.48,951.32,50856.18,13
2023-02-21 02:21:00,43.60,42.34,-49.12,20792.88,950.85,50856.21,13
2023-02-21 02:22:00,43.60,42.34,-49.13,20792.86,952.00,50856.36,13
2023-02-21 02:23:00,43.60,42.35,-49.06,20792.47,952.87,50856.45,13
2023-02-21 02:24:00,43.61,42.34,-49.07,20792.32,953.17,50856.64,13
2023-02-21 02:25:00,43.59,42.34,-49.15,20792.22,953.98,50856.92,13
2023-02-21 02:26:00,43.60,42.34,-49.09,20791.65,954.62,50857.06,13
2023-02-21 02:27:00,43.59,42.32,-49.09,20792.37,954.92,50857.04,13
2023-02-21 02:28:00,43.60,42.35,-49.10,20793.05,954.47,50856.98,13
2023-02-21 02:29:00,43.59,42.34,-49.16,20793.34,954.55,50857.01,13
2023-02-21 02:30:00,43.61,42.35,-49.14,20794.06,954.28,50857.13,13
2023-02-21 02:31:00,43.60,42.33,-49.12,20794.45,953.61,50857.11,13
2023-02-21 02:32:00,43.59,42.35,-49.17,20794.37,953.62,50856.84,13
2023-02-21 02:33:00,43.60,42.33,-49.11,20794.32,954.06,50856.88,13
2023-02-21 02:34:00,43.62,42.34,-49.10,20794.65,954.16,50856.77,13
2023-02-21 02:35:00,43.60,42.33,-49.11,20795.04,953.69,50856.74,13
2023-02-21 02:36:00,43.59,42.34,-49.10,20795.80,953.64,50856.75,13
2023-02-21 02:37:00,43.60,42.34,-49.10,20796.59,953.14,50856.46,13
2023-02-21 02:38:00,43.60,42.34,-49.07,20797.17,952.73,50856.29,13
2023-02-21 02:39:00,43.60,42.34,-49.15,20797.40,952.76,50856.16,13
2023-02-21 02:40:00,43.60,42.35,-49.12,20797.45,952.68,50856.01,13
2023-02-21 02:41:00,43.59,42.33,-49.07,20797.69,952.82,50855.92,13
2023-02-21 02:42:00,43.60,42.33,-49.10,20797.86,952.55,50855.57,13
2023-02-21 02:43:00,43.60,42.33,-49.08,20797.98,952.89,50855.72,13
2023-02-21 02:44:00,43.60,42.34,-49.13,20798.18,952.16,50855.50,13
2023-02-21 02:45:00,43.59,42.34,-49.14,20798.55,952.43,50855.37,13
2023-02-21 02:46:00,43.61,42.33,-49.14,20798.15,951.87,50855.36,13
2023-02-21 02:47:00,43.60,42.35,-49.10,20798.37,951.59,50855.15,13
2023-02-21 02:48:00,43.61,42.33,-49.08,20798.20,951.89,50855.15,13
2023-02-21 02:49:00,43.59,42.34,-49.10,20798.46,952.08,50855.04,13
2023-02-21 02:50:00,43.61,42.34,-49.12,20799.04,951.91,50854.90,13
2023-02-21 02:51:00,43.60,42.35,-49.12,20799.45,951.35,50854.76,13
2023-02-21 02:52:00,43.61,42.34,-49.11,20799.95,950.71,50854.76,13
2023-02-21 02:53:00,43.60,42.33,-49.10,20801.09,950.38,50854.63,13
2023-02-21 02:54:00,43.60,42.34,-49.15,20801.54,950.12,50854.44,13
2023-02-21 02:55:00,43.61,42.34,-49.08,20802.57,949.88,50854.29,13
2023-02-21 02:56:00,43.60,42.34,-49.13,20803.00,950.25,50854.10,13
2023-02-21 02:57:00,43.59,42.33,-49.13,20803.57,950.53,50854.30,13
2023-02-21 02:58:00,43.61,42.32,-49.11,20803.68,950.57,50854.10,13
2023-02-21 02:59:00,43.60,42.34,-49.11,20803.49,950.41,50853.91,13
2023-02-21 03:00:00,43.60,42.34,-49.10,20803.69,950.22,50853.68,13
2023-02-21 03:01:00,43.59,42.35,-49.11,20803.52,950.77,50853.75,13
2023-02-21 03:02:00,43.60,42.34,-49.08,20803.02,950.52,50853.64,13
2023-02-21 03:03:00,43.60,42.35,-49.12,20802.54,950.88,50853.75,13
2023-02-21 03:04:00,43.60,42.34,-49.10,20801.96,951.28,50853.71,13
2023-02-21 03:05:00,43.61,42.34,-49.10,20802.01,951.53,50853.71,13
2023-02-21 03:06:00,43.60,42.34,-49.15,20801.58,951.60,50853.77,13
2023-02-21 03:07:00,43.61,42.35,-49.11,20801.24,951.87,50853.86,13
2023-02-21 03:08:00,43.60,42.33,-49.17,20800.80,952.01,50853.84,13
2023-02-21 03:09:00,43.59,42.33,-49.11,20801.08,952.57,50853.79,13
2023-02-21 03:10:00,43.60,42.33,-49.08,20800.53,952.71,50853.80,13
2023-02-21 03:11:00,43.60,42.33,-49.11,20800.71,953.21,50853.72,13
2023-02-21 03:12:00,43.62,42.33,-49.11,20800.34,953.58,50853.85,13
2023-02-21 03:13:00,43.60,42.34,-49.09,20800.36,953.25,50853.65,13
2023-02-21 03:14:00,43.59,42.34,-49.10,20800.10,953.40,50853.70,13
2023-02-21 03:15:00,43.60,42.34,-49.10,20800.52,953.71,50853.72,13
2023-02-21 03:16:00,43.60,42.33,-49.08,20800.87,953.46,50853.54,13
2023-02-21 03:17:00,43.59,42.32,-49.13,20801.50,953.27,50853.33,13
2023-02-21 03:18:00,43.59,42.34,-49.08,20801.91,953.24,50853.22,13
2023-02-21 03:19:00,43.59,42.34,-49.14,20802.56,953.55,50853.15,13
2023-02-21 03:20:00,43.60,42.33,-49.17,20802.85,953.65,50853.07,13
2023-02-21 03:21:00,43.60,42.34,-49.08,20803.21,953.88,50853.13,13
2023-02-21 03:22:00,43.59,42.33,-49.08,20804.37,953.88,50852.93,13
2023-02-21 03:23:00,43.60,42.35,-49.13,20804.60,953.35,50853.00,13
2023-02-21 03:24:00,43.59,42.35,-49.11,20805.88,955.19,50852.95,13
2023-02-21 03:25:00,43.60,42.34,-49.13,20805.76,955.98,50853.03,13
2023-02-21 03:26:00,43.60,42.34,-49.10,20805.30,956.55,50852.95,13
2023-02-21 03:27:00,43.60,42.34,-49.11,20805.41,957.89,50853.16,13
2023-02-21 03:28:00,43.60,42.34,-49.08,20805.81,955.93,50852.82,13
2023-02-21 03:29:00,43.60,42.34,-49.10,20805.51,956.04,50852.85,13
2023-02-21 03:30:00,43.60,42.34,-49.10,20805.44,956.59,50853.19,13
2023-02-21 03:31:00,43.59,42.34,-49.07,20805.13,956.73,50853.03,13
2023-02-21 03:32:00,43.60,42.33,-49.10,20805.65,953.84,50852.64,13
2023-02-21 03:33:00,43.61,42.34,-49.09,20805.44,953.32,50852.90,13
2023-02-21 03:34:00,43.60,42.35,-49.11,20804.81,952.73,50852.76,13
2023-02-21 03:35:00,43.61,42.33,-49.10,20804.35,953.26,50853.03,13
2023-02-21 03:36:00,43.59,42.34,-49.10,20803.96,953.52,50852.94,13
2023-02-21 03:37:00,43.60,42.34,-49.07,20804.00,953.14,50852.79,13
2023-02-21 03:38:00,43.60,42.34,-49.13,20804.05,952.66,50852.98,13
2023-02-21 03:39:00,43.60,42.33,-49.11,20804.37,952.97,50853.05,13
2023-02-21 03:40:00,43.59,42.35,-49.10,20804.41,953.41,50853.03,13
2023-02-21 03:41:00,43.60,42.33,-49.15,20804.74,953.89,50853.14,13
2023-02-21 03:42:00,43.59,42.35,-49.10,20804.93,953.87,50852.96,13
2023-02-21 03:43:00,43.61,42.33,-49.11,20805.33,954.06,50852.88,13
2023-02-21 03:44:00,43.60,42.33,-49.06,20805.17,954.35,50852.75,13
2023-02-21 03:45:00,43.60,42.34,-49.11,20805.68,954.37,50852.80,13
2023-02-21 03:46:00,43.60,42.32,-49.12,20805.10,954.23,50852.53,13
2023-02-21 03:47:00,43.59,42.34,-49.09,20806.11,954.80,50852.62,13
2023-02-21 03:48:00,43.61,42.34,-49.13,20806.77,955.10,50852.49,13
2023-02-21 03:49:00,43.59,42.33,-49.11,20806.39,955.11,50852.55,13
2023-02-21 03:50:00,43.60,42.34,-49.14,20806.87,955.80,50852.13,13
2023-02-21 03:51:00,43.62,42.34,-49.11,20806.95,955.46,50852.36,13
2023-02-21 03:52:00,43.61,42.34,-49.17,20807.20,956.04,50852.18,13
2023-02-21 03:53:00,43.60,42.32,-49.12,20807.47,956.39,50852.03,13
2023-02-21 03:54:00,43.58,42.34,-49.09,20807.75,955.55,50852.10,13
2023-02-21 03:55:00,43.60,42.34,-49.13,20806.84,955.37,50852.01,13
2023-02-21 03:56:00,43.60,42.33,-49.11,20806.64,955.49,50851.84,13
2023-02-21 03:57:00,43.59,42.34,-49.13,20807.08,955.25,50851.84,13
2023-02-21 03:58:00,43.59,42.32,-49.11,20807.19,955.84,50851.85,13
2023-02-21 03:59:00,43.60,42.34,-49.12,20807.60,954.88,50851.76,13
2023-02-21 04:00:00,43.60,42.34,-49.10,20807.35,955.53,50851.90,13
2023-02-21 04:01:00,43.60,42.33,-49.11,20808.46,955.48,50851.65,13
2023-02-21 04:02:00,43.60,42.34,-49.10,20808.43,955.50,50851.57,13
2023-02-21 04:03:00,43.61,42.33,-49.14,20808.28,956.25,50851.45,13
2023-02-21 04:04:00,43.60,42.34,-49.17,20808.33,956.40,50851.36,13
2023-02-21 04:05:00,43.61,42.33,-49.15,20808.49,956.48,50851.37,13
2023-02-21 04:06:00,43.61,42.34,-49.07,20808.38,955.79,50851.35,13
2023-02-21 04:07:00,43.59,42.33,-49.10,20807.31,955.87,50851.28,13
2023-02-21 04:08:00,43.62,42.33,-49.11,20808.56,955.17,50850.97,13
2023-02-21 04:09:00,43.60,42.34,-49.15,20808.03,956.24,50851.06,13
2023-02-21 04:10:00,43.61,42.33,-49.11,20809.47,955.43,50851.02,13
2023-02-21 04:11:00,43.60,42.34,-49.11,20808.82,956.45,50850.89,13
2023-02-21 04:12:00,43.61,42.34,-49.15,20809.34,956.05,50850.47,13
2023-02-21 04:13:00,43.60,42.34,-49.10,20810.97,956.21,50850.38,13
2023-02-21 04:14:00,43.59,42.34,-49.10,20809.01,956.05,50850.58,13
2023-02-21 04:15:00,43.61,42.33,-49.12,20810.83,956.10,50850.12,13
2023-02-21 04:16:00,43.60,42.34,-49.08,20808.21,955.17,50850.54,13
2023-02-21 04:17:00,43.60,42.34,-49.09,20809.01,954.63,50850.27,13
2023-02-21 04:18:00,43.60,42.35,-49.10,20808.72,956.46,50850.63,13
2023-02-21 04:19:00,43.58,42.33,-49.11,20806.75,954.42,50850.80,13
2023-02-21 04:20:00,43.59,42.33,-49.13,20807.87,958.19,50850.86,13
2023-02-21 04:21:00,43.60,42.35,-49.11,20807.50,953.57,50850.63,13
2023-02-21 04:22:00,43.60,42.34,-49.11,20806.77,957.42,50851.18,13
2023-02-21 04:23:00,43.60,42.34,-49.08,20807.13,955.71,50851.02,13
2023-02-21 04:24:00,43.59,42.34,-49.11,20805.58,956.69,50851.39,13
2023-02-21 04:25:00,43.60,42.33,-49.11,20805.51,955.77,50851.52,13
2023-02-21 04:26:00,43.60,42.34,-49.08,20805.19,955.37,50851.74,13
2023-02-21 04:27:00,43.59,42.34,-49.11,20804.82,955.19,50851.88,13
2023-02-21 04:28:00,43.60,42.35,-49.12,20804.73,956.74,50851.95,13
2023-02-21 04:29:00,43.60,42.34,-49.11,20803.49,956.94,50852.36,13
2023-02-21 04:30:00,43.60,42.33,-49.10,20803.47,955.18,50852.43,13
2023-02-21 04:31:00,43.61,42.34,-49.09,20802.55,955.76,50852.73,13
2023-02-21 04:32:00,43.59,42.34,-49.08,20801.84,956.69,50853.01,13
2023-02-21 04:33:00,43.60,42.33,-49.15,20801.11,957.08,50853.08,13
2023-02-21 04:34:00,43.60,42.33,-49.08,20799.46,956.71,50853.22,13
2023-02-21 04:35:00,43.60,42.33,-49.11,20798.96,957.33,50853.57,13
2023-02-21 04:36:00,43.60,42.33,-49.14,20798.64,957.96,50853.90,13
2023-02-21 04:37:00,43.59,42.34,-49.14,20797.83,956.34,50854.03,13
2023-02-21 04:38:00,43.61,42.34,-49.13,20796.81,956.45,50854.30,13
2023-02-21 04:39:00,43.61,42.33,-49.10,20796.13,955.43,50854.37,13
2023-02-21 04:40:00,43.60,42.33,-49.13,20795.50,955.87,50854.64,13
2023-02-21 04:41:00,43.59,42.33,-49.10,20795.33,956.32,50854.94,13
2023-02-21 04:42:00,43.60,42.33,-49.12,20794.67,954.43,50855.18,13
2023-02-21 04:43:00,43.60,42.35,-49.13,20793.82,953.28,50855.33,13
2023-02-21 04:44:00,43.58,42.34,-49.13,20792.87,953.60,50855.72,13
2023-02-21 04:45:00,43.62,42.33,-49.09,20793.38,955.73,50856.15,13
2023-02-21 04:46:00,43.61,42.34,-49.16,20793.78,957.05,50856.44,13
2023-02-21 04:47:00,43.60,42.34,-49.10,20794.52,958.10,50856.45,13
2023-02-21 04:48:00,43.61,42.34,-49.07,20795.20,957.60,50856.27,13
2023-02-21 04:49:00,43.59,42.34,-49.05,20796.75,960.27,50856.07,13
2023-02-21 04:50:00,43.61,42.34,-49.09,20797.69,957.94,50855.89,13
2023-02-21 04:51:00,43.60,42.35,-49.09,20798.34,957.85,50855.83,13
2023-02-21 04:52:00,43.60,42.33,-49.11,20800.98,957.17,50855.59,13
2023-02-21 04:53:00,43.60,42.34,-49.14,20800.21,958.76,50855.59,13
2023-02-21 04:54:00,43.59,42.34,-49.13,20801.35,958.65,50855.48,13
2023-02-21 04:55:00,43.60,42.34,-49.13,20801.17,960.67,50855.50,13
2023-02-21 04:56:00,43.61,42.33,-49.09,20800.50,960.44,50855.31,13
2023-02-21 04:57:00,43.59,42.34,-49.13,20799.56,963.49,50855.61,13
2023-02-21 04:58:00,43.59,42.34,-49.11,20798.63,963.63,50855.74,13
2023-02-21 04:59:00,43.59,42.33,-49.13,20798.18,965.56,50855.83,13
2023-02-21 05:00:00,43.60,42.32,-49.11,20797.66,965.35,50856.06,13
2023-02-21 05:01:00,43.58,42.34,-49.12,20798.23,966.63,50856.03,13
2023-02-21 05:02:00,43.59,42.33,-49.11,20797.43,965.88,50856.16,13
2023-02-21 05:03:00,43.60,42.34,-49.10,20796.79,969.37,50856.42,13
2023-02-21 05:04:00,43.58,42.34,-49.15,20794.88,972.15,50857.07,13
2023-02-21 05:05:00,43.60,42.35,-49.10,20792.86,975.04,50857.34,13
2023-02-21 05:06:00,43.60,42.34,-49.13,20790.74,976.50,50857.78,13
2023-02-21 05:07:00,43.60,42.32,-49.12,20789.90,979.10,50858.50,13
2023-02-21 05:08:00,43.60,42.33,-49.15,20789.70,981.27,50858.87,13
2023-02-21 05:09:00,43.59,42.33,-49.17,20789.44,981.55,50858.75,13
2023-02-21 05:10:00,43.61,42.33,-49.14,20788.01,981.13,50859.00,13
2023-02-21 05:11:00,43.60,42.34,-49.16,20788.57,983.97,50859.05,13
2023-02-21 05:12:00,43.60,42.34,-49.13,20789.45,984.53,50859.21,13
2023-02-21 05:13:00,43.61,42.34,-49.15,20789.73,983.88,50859.31,13
2023-02-21 05:14:00,43.60,42.34,-49.13,20790.70,983.70,50859.49,13
2023-02-21 05:15:00,43.61,42.33,-49.12,20791.00,983.16,50859.44,13
2023-02-21 05:16:00,43.59,42.34,-49.12,20791.91,983.51,50859.20,13
2023-02-21 05:17:00,43.61,42.33,-49.08,20792.33,983.12,50859.05,13
2023-02-21 05:18:00,43.60,42.34,-49.11,20793.39,982.06,50858.84,13
2023-02-21 05:19:00,43.60,42.33,-49.12,20793.86,980.51,50858.37,13
2023-02-21 05:20:00,43.60,42.33,-49.16,20795.91,978.96,50858.24,13
2023-02-21 05:21:00,43.60,42.34,-49.11,20797.12,976.27,50857.52,13
2023-02-21 05:22:00,43.60,42.33,-49.11,20798.34,974.66,50857.14,13
2023-02-21 05:23:00,43.61,42.33,-49.11,20798.93,972.31,50856.57,13
2023-02-21 05:24:00,43.60,42.33,-49.14,20799.08,970.87,50856.25,13
2023-02-21 05:25:00,43.60,42.33,-49.08,20799.47,968.46,50855.87,13
2023-02-21 05:26:00,43.59,42.33,-49.13,20799.80,966.56,50855.43,13
2023-02-21 05:27:00,43.61,42.33,-49.12,20800.49,964.58,50855.15,13
2023-02-21 05:28:00,43.59,42.33,-49.09,20800.02,963.08,50855.04,13
2023-02-21 05:29:00,43.60,42.33,-49.09,20799.20,962.14,50854.88,13
2023-02-21 05:30:00,43.61,42.34,-49.10,20798.64,959.49,50854.97,13
